+-------------------+------------------+-------------------+------------------+-------------------+
|      a-b-c-d      |     a-b-c-e      |      a-b-d-e      |     a-c-d-e      |      b-c-d-e      |
|   a1-b36-c56-d26  |  a1-b16-c50-e92  |   a1-b23-d26-e21  |  a1-c50-d26-e92  |   b1-c30-d48-e52  |
|   a1-b36-c72-d26  |  a1-b16-c50-e94  |   a1-b23-d26-e25  |  a1-c50-d26-e94  |   b1-c30-d48-e54  |
|   a1-b36-c72-d41  |  a1-b16-c55-e21  |   a1-b23-d26-e42  |  a1-c55-d26-e21  |   b1-c30-d48-e64  |
|   a1-b36-c75-d26  |  a1-b16-c55-e51  |   a1-b23-d26-e51  |  a1-c55-d26-e51  |   b1-c30-d48-e68  |
|   a1-b36-c80-d26  |  a1-b16-c55-e75  |   a1-b23-d26-e75  |  a1-c55-d26-e75  |   b1-c30-d62-e18  |
|   a1-b36-c80-d41  |  a1-b16-c55-e94  |   a1-b23-d26-e86  |  a1-c55-d26-e94  |   b1-c30-d62-e33  |
|   a1-b49-c55-d26  |  a1-b16-c56-e25  |   a1-b23-d26-e92  |  a1-c55-d51-e21  |   b1-c30-d62-e46  |
|   a1-b49-c55-d51  |  a1-b16-c56-e51  |   a1-b23-d26-e94  |  a1-c55-d51-e51  |   b1-c30-d62-e52  |
|   a1-b49-c56-d26  |  a1-b16-c56-e55  |   a1-b23-d41-e25  |  a1-c55-d51-e75  |   b1-c30-d62-e54  |
|   a1-b49-c56-d51  |  a1-b16-c56-e75  |   a1-b23-d41-e42  |  a1-c56-d26-e25  |   b1-c30-d62-e64  |
|   a1-b49-c80-d26  |  a1-b16-c72-e21  |   a1-b23-d41-e51  |  a1-c56-d26-e51  |   b1-c30-d73-e18  |
|   a1-b49-c80-d51  |  a1-b16-c72-e25  |   a1-b23-d41-e75  |  a1-c56-d26-e75  |   b1-c30-d73-e20  |
|   a1-b60-c14-d41  |  a1-b16-c72-e42  |   a1-b23-d41-e92  |  a1-c56-d51-e51  |   b1-c30-d73-e29  |
|   a1-b60-c14-d59  |  a1-b16-c72-e51  |   a1-b36-d26-e21  |  a1-c56-d51-e75  |   b1-c30-d73-e46  |
|   a1-b60-c14-d68  |  a1-b16-c72-e75  |   a1-b36-d26-e25  |  a1-c72-d26-e21  |   b1-c30-d73-e64  |
|   a1-b60-c14-d98  |  a1-b16-c72-e86  |   a1-b36-d26-e42  |  a1-c72-d26-e25  |   b1-c30-d73-e68  |
|   a1-b75-c14-d26  |  a1-b16-c72-e92  |   a1-b36-d26-e51  |  a1-c72-d26-e42  |   b1-c30-d75-e18  |
|   a1-b75-c14-d41  |  a1-b16-c72-e94  |   a1-b36-d26-e75  |  a1-c72-d26-e51  |   b1-c30-d75-e20  |
|   a1-b75-c29-d26  |  a1-b16-c75-e21  |   a1-b36-d26-e86  |  a1-c72-d26-e75  |   b1-c30-d75-e29  |
|   a1-b75-c32-d26  |  a1-b16-c75-e25  |   a1-b36-d26-e92  |  a1-c72-d26-e86  |   b1-c30-d75-e33  |
|   a1-b75-c50-d26  |  a1-b16-c75-e42  |   a1-b36-d26-e94  |  a1-c72-d26-e92  |   b1-c30-d75-e46  |
|   a1-b75-c55-d26  |  a1-b16-c75-e51  |   a1-b36-d41-e25  |  a1-c72-d26-e94  |   b1-c30-d75-e52  |
|   a1-b75-c55-d51  |  a1-b16-c75-e75  |   a1-b36-d41-e42  |  a1-c72-d41-e25  |   b1-c30-d75-e54  |
|   a1-b75-c56-d26  |  a1-b16-c75-e86  |   a1-b36-d41-e51  |  a1-c72-d41-e42  |   b1-c30-d75-e64  |
|   a1-b75-c56-d51  |  a1-b16-c75-e92  |   a1-b36-d41-e55  |  a1-c72-d41-e51  |   b1-c30-d75-e68  |
|   a1-b75-c72-d26  |  a1-b16-c75-e94  |   a1-b36-d41-e75  |  a1-c72-d41-e75  |  b1-c30-d100-e18  |
|   a1-b75-c72-d41  |  a1-b16-c80-e21  |   a1-b36-d41-e92  |  a1-c72-d41-e92  |  b1-c30-d100-e29  |
|   a1-b75-c75-d26  |  a1-b16-c80-e25  |   a1-b36-d59-e25  |  a1-c75-d26-e21  |  b1-c30-d100-e33  |
|   a1-b75-c80-d26  |  a1-b16-c80-e42  |   a1-b36-d59-e42  |  a1-c75-d26-e25  |  b1-c30-d100-e36  |
|   a1-b75-c80-d41  |  a1-b16-c80-e51  |   a1-b36-d59-e55  |  a1-c75-d26-e42  |  b1-c30-d100-e52  |
|   a1-b75-c80-d51  |  a1-b16-c80-e75  |   a1-b36-d59-e92  |  a1-c75-d26-e51  |  b1-c30-d100-e54  |
|   a1-b78-c14-d41  |  a1-b16-c80-e86  |   a1-b36-d68-e25  |  a1-c75-d26-e75  |  b1-c30-d100-e64  |
|   a1-b78-c14-d59  |  a1-b16-c80-e92  |   a1-b36-d68-e42  |  a1-c75-d26-e86  |   b1-c31-d13-e29  |
|   a1-b78-c14-d68  |  a1-b16-c80-e94  |   a1-b36-d68-e55  |  a1-c75-d26-e92  |   b1-c31-d13-e64  |
|   a1-b78-c14-d98  |  a1-b23-c14-e21  |   a1-b36-d98-e25  |  a1-c75-d26-e94  |   b1-c31-d13-e68  |
|   a1-b80-c29-d26  |  a1-b23-c14-e25  |   a1-b36-d98-e42  |  a1-c80-d26-e21  |   b1-c31-d45-e20  |
|   a1-b80-c50-d26  |  a1-b23-c14-e42  |   a1-b36-d98-e55  |  a1-c80-d26-e25  |   b1-c31-d45-e29  |
|   a1-b80-c55-d26  |  a1-b23-c14-e51  |   a1-b49-d26-e21  |  a1-c80-d26-e42  |   b1-c31-d45-e64  |
|   a1-b80-c55-d51  |  a1-b23-c14-e75  |   a1-b49-d26-e51  |  a1-c80-d26-e51  |   b1-c31-d45-e68  |
|   a1-b80-c72-d26  |  a1-b23-c14-e86  |   a1-b49-d26-e75  |  a1-c80-d26-e75  |   b1-c31-d48-e20  |
|   a1-b80-c75-d26  |  a1-b23-c14-e92  |   a1-b49-d26-e94  |  a1-c80-d26-e86  |   b1-c31-d48-e29  |
|   a1-b80-c80-d26  |  a1-b23-c14-e94  |   a1-b49-d51-e21  |  a1-c80-d26-e92  |   b1-c31-d48-e46  |
|   a1-b80-c80-d51  |  a1-b23-c29-e21  |   a1-b49-d51-e51  |  a1-c80-d26-e94  |   b1-c31-d48-e64  |
|   a1-b95-c14-d26  |  a1-b23-c29-e25  |   a1-b49-d51-e75  |  a1-c80-d41-e25  |   b1-c31-d48-e68  |
|   a1-b95-c56-d26  |  a1-b23-c29-e42  |   a1-b60-d41-e25  |  a1-c80-d41-e42  |   b1-c31-d50-e29  |
|   a1-b95-c56-d51  |  a1-b23-c29-e51  |   a1-b60-d41-e42  |  a1-c80-d41-e51  |   b1-c31-d50-e68  |
|   a2-b1-c30-d45   |  a1-b23-c29-e75  |   a1-b60-d41-e55  |  a1-c80-d41-e75  |   b1-c31-d65-e29  |
|   a2-b1-c30-d48   |  a1-b23-c29-e86  |   a1-b60-d59-e25  |  a1-c80-d41-e92  |   b1-c31-d65-e64  |
|   a2-b1-c30-d73   |  a1-b23-c29-e92  |   a1-b60-d59-e42  |  a1-c80-d51-e21  |   b1-c31-d65-e68  |
|   a2-b1-c30-d75   |  a1-b23-c29-e94  |   a1-b60-d59-e55  |  a1-c80-d51-e51  |   b1-c31-d73-e20  |
|   a2-b1-c31-d45   |  a1-b23-c32-e21  |   a1-b60-d68-e25  |  a1-c80-d51-e75  |   b1-c31-d73-e29  |
|   a2-b1-c31-d48   |  a1-b23-c32-e51  |   a1-b60-d68-e42  |   a2-c2-d22-e5   |   b1-c31-d73-e46  |
|   a2-b1-c31-d50   |  a1-b23-c32-e75  |   a1-b60-d68-e55  |  a2-c2-d22-e15   |   b1-c31-d73-e64  |
|   a2-b1-c31-d73   |  a1-b23-c32-e86  |   a1-b60-d98-e25  |  a2-c2-d22-e68   |   b1-c31-d73-e68  |
|   a2-b1-c31-d75   |  a1-b23-c32-e92  |   a1-b60-d98-e42  |  a2-c2-d22-e96   |   b1-c31-d75-e20  |
|   a2-b1-c53-d45   |  a1-b23-c32-e94  |   a1-b60-d98-e55  |  a2-c2-d45-e15   |   b1-c31-d75-e29  |
|   a2-b1-c53-d48   |  a1-b23-c50-e21  |   a1-b75-d26-e21  |  a2-c2-d45-e20   |   b1-c31-d75-e46  |
|   a2-b1-c53-d50   |  a1-b23-c50-e42  |   a1-b75-d26-e25  |  a2-c2-d45-e29   |   b1-c31-d75-e64  |
|   a2-b1-c53-d73   |  a1-b23-c50-e51  |   a1-b75-d26-e42  |  a2-c2-d45-e68   |   b1-c31-d75-e68  |
|   a2-b1-c53-d75   |  a1-b23-c50-e75  |   a1-b75-d26-e51  |  a2-c2-d45-e96   |   b1-c53-d13-e18  |
|   a2-b1-c88-d45   |  a1-b23-c50-e86  |   a1-b75-d26-e75  |  a2-c2-d48-e20   |   b1-c53-d13-e29  |
|   a2-b1-c88-d48   |  a1-b23-c50-e92  |   a1-b75-d26-e86  |  a2-c2-d48-e29   |   b1-c53-d13-e52  |
|   a2-b1-c88-d50   |  a1-b23-c50-e94  |   a1-b75-d26-e92  |  a2-c2-d48-e68   |   b1-c53-d13-e64  |
