+-------------------+------------------+-------------------+------------------+-------------------+
|      a-b-c-d      |     a-b-c-e      |      a-b-d-e      |     a-c-d-e      |      b-c-d-e      |
|  a17-b85-c87-d43  | a13-b23-c55-e75  |  a16-b66-d34-e39  | a15-c73-d71-e72  |  b19-c68-d27-e40  |
|   a18-b41-c2-d22  | a13-b23-c55-e94  |  a16-b66-d34-e56  | a15-c73-d71-e90  |  b19-c68-d27-e67  |
|   a18-b41-c2-d45  | a13-b23-c72-e21  |  a16-b66-d34-e72  | a15-c73-d81-e36  |  b19-c68-d27-e74  |
|   a18-b41-c2-d48  | a13-b23-c72-e25  |  a16-b66-d47-e16  | a15-c73-d81-e41  |   b19-c68-d36-e4  |
|   a18-b41-c2-d50  | a13-b23-c72-e42  |  a16-b66-d47-e38  | a15-c73-d81-e52  |  b19-c68-d36-e40  |
|   a18-b41-c2-d65  | a13-b23-c72-e51  |  a16-b66-d47-e39  | a15-c73-d81-e72  |  b19-c68-d36-e67  |
|  a18-b41-c19-d22  | a13-b23-c72-e75  |  a16-b66-d47-e56  | a15-c73-d81-e90  |   b19-c68-d38-e4  |
|  a18-b41-c19-d45  | a13-b23-c72-e92  |  a16-b66-d47-e69  | a15-c73-d85-e36  |  b19-c68-d38-e31  |
|  a18-b41-c19-d48  | a13-b23-c72-e94  |  a16-b66-d47-e72  | a15-c73-d85-e41  |  b19-c68-d38-e40  |
|  a18-b41-c19-d50  | a13-b23-c75-e21  |  a16-b66-d85-e16  | a15-c73-d85-e72  |  b19-c68-d38-e67  |
|  a18-b41-c19-d65  | a13-b23-c75-e25  |  a16-b66-d85-e38  | a15-c73-d85-e90  |  b19-c68-d38-e74  |
|  a18-b41-c28-d13  | a13-b23-c75-e42  |  a16-b66-d85-e39  | a15-c73-d100-e36 |   b19-c68-d76-e4  |
|  a18-b41-c28-d45  | a13-b23-c75-e51  |  a16-b66-d85-e56  | a15-c73-d100-e41 |  b19-c68-d76-e31  |
|  a18-b41-c28-d48  | a13-b23-c75-e75  |  a16-b66-d85-e69  | a15-c73-d100-e52 |  b19-c68-d76-e40  |
|  a18-b41-c28-d50  | a13-b23-c75-e92  |  a16-b66-d85-e72  | a15-c73-d100-e54 |  b19-c68-d76-e67  |
|  a18-b41-c28-d65  | a13-b23-c75-e94  |  a16-b66-d95-e16  | a15-c73-d100-e64 |  b19-c68-d76-e74  |
|  a18-b41-c53-d13  | a13-b23-c80-e21  |  a16-b66-d95-e69  | a15-c73-d100-e72 |   b19-c93-d36-e4  |
|  a18-b41-c53-d22  | a13-b23-c80-e25  |  a16-b66-d95-e72  | a15-c73-d100-e90 |  b19-c93-d36-e40  |
|  a18-b41-c53-d45  | a13-b23-c80-e42  |   a16-b99-d2-e16  |  a15-c82-d4-e33  |  b19-c93-d36-e67  |
|  a18-b41-c53-d48  | a13-b23-c80-e51  |   a16-b99-d2-e38  |  a15-c82-d4-e52  |   b19-c93-d38-e4  |
|  a18-b41-c53-d50  | a13-b23-c80-e75  |   a16-b99-d2-e39  |  a15-c82-d4-e54  |  b19-c93-d38-e40  |
|  a18-b41-c53-d65  | a13-b23-c80-e92  |   a16-b99-d2-e43  |  a15-c82-d4-e90  |  b19-c93-d38-e67  |
|  a18-b41-c81-d13  | a13-b23-c80-e94  |   a16-b99-d2-e56  | a15-c82-d24-e33  |   b19-c93-d76-e4  |
|  a18-b41-c81-d22  | a13-b36-c14-e21  |   a16-b99-d2-e69  | a15-c82-d24-e52  |  b19-c93-d76-e40  |
|  a18-b41-c81-d45  | a13-b36-c14-e25  |   a16-b99-d2-e70  | a15-c82-d24-e54  |  b19-c93-d76-e67  |
|  a18-b41-c81-d48  | a13-b36-c14-e42  |   a16-b99-d2-e72  | a15-c82-d24-e90  |   b20-c47-d28-e9  |
|  a18-b41-c81-d50  | a13-b36-c14-e51  |  a16-b99-d24-e38  | a15-c82-d71-e33  |  b20-c47-d28-e12  |
|  a18-b41-c81-d65  | a13-b36-c14-e55  |  a16-b99-d24-e39  | a15-c82-d71-e52  |  b20-c47-d28-e69  |
|   a18-b57-c2-d22  | a13-b36-c14-e75  |  a16-b99-d24-e43  | a15-c82-d71-e54  |  b20-c47-d28-e98  |
|   a18-b57-c2-d43  | a13-b36-c14-e92  |  a16-b99-d24-e56  | a15-c82-d71-e90  |   b20-c47-d54-e9  |
|   a18-b57-c2-d45  | a13-b36-c14-e94  |  a16-b99-d24-e72  | a15-c82-d100-e33 |  b20-c47-d54-e12  |
|   a18-b57-c2-d48  | a13-b36-c29-e21  |  a16-b99-d34-e16  | a15-c82-d100-e52 |  b20-c47-d54-e98  |
|   a18-b57-c2-d50  | a13-b36-c29-e25  |  a16-b99-d34-e38  | a15-c82-d100-e54 |   b20-c47-d77-e9  |
|   a18-b57-c2-d65  | a13-b36-c29-e42  |  a16-b99-d34-e39  | a15-c82-d100-e64 |  b20-c47-d77-e12  |
|  a18-b57-c19-d22  | a13-b36-c29-e51  |  a16-b99-d34-e43  | a15-c82-d100-e90 |  b20-c47-d77-e69  |
|  a18-b57-c19-d43  | a13-b36-c29-e75  |  a16-b99-d34-e56  |  a15-c84-d4-e36  |  b20-c47-d77-e98  |
|  a18-b57-c19-d45  | a13-b36-c29-e92  |  a16-b99-d34-e70  |  a15-c84-d4-e39  |   b20-c47-d83-e9  |
|  a18-b57-c19-d48  | a13-b36-c29-e94  |  a16-b99-d34-e72  |  a15-c84-d4-e41  |  b20-c47-d83-e12  |
|  a18-b57-c19-d50  | a13-b36-c32-e21  |  a16-b99-d47-e16  |  a15-c84-d4-e43  |  b20-c47-d83-e69  |
|  a18-b57-c19-d65  | a13-b36-c32-e51  |  a16-b99-d47-e38  |  a15-c84-d4-e72  |  b20-c47-d83-e98  |
|  a18-b57-c28-d13  | a13-b36-c32-e75  |  a16-b99-d47-e39  |  a15-c84-d4-e90  |  b20-c47-d95-e69  |
|  a18-b57-c28-d45  | a13-b36-c32-e92  |  a16-b99-d47-e43  | a15-c84-d24-e39  |   b20-c47-d99-e9  |
|  a18-b57-c28-d48  | a13-b36-c32-e94  |  a16-b99-d47-e56  | a15-c84-d24-e41  |  b20-c47-d99-e12  |
|  a18-b57-c28-d50  | a13-b36-c50-e21  |  a16-b99-d47-e69  | a15-c84-d24-e43  |  b20-c47-d99-e69  |
|  a18-b57-c28-d65  | a13-b36-c50-e42  |  a16-b99-d47-e70  | a15-c84-d24-e72  |   b20-c63-d28-e9  |
|  a18-b57-c53-d13  | a13-b36-c50-e51  |  a16-b99-d47-e72  | a15-c84-d24-e90  |  b20-c63-d28-e12  |
|  a18-b57-c53-d22  | a13-b36-c50-e75  |  a16-b99-d85-e16  | a15-c84-d34-e39  |  b20-c63-d28-e98  |
|  a18-b57-c53-d45  | a13-b36-c50-e92  |  a16-b99-d85-e38  | a15-c84-d34-e41  |  b20-c63-d46-e12  |
|  a18-b57-c53-d48  | a13-b36-c50-e94  |  a16-b99-d85-e39  | a15-c84-d34-e43  |  b20-c63-d46-e24  |
|  a18-b57-c53-d50  | a13-b36-c55-e21  |  a16-b99-d85-e43  | a15-c84-d34-e72  |  b20-c63-d46-e36  |
|  a18-b57-c53-d65  | a13-b36-c55-e51  |  a16-b99-d85-e56  | a15-c84-d34-e90  |  b20-c63-d46-e41  |
|  a18-b57-c81-d13  | a13-b36-c55-e75  |  a16-b99-d85-e69  | a15-c84-d71-e39  |   b20-c63-d69-e9  |
|  a18-b57-c81-d22  | a13-b36-c55-e94  |  a16-b99-d85-e72  | a15-c84-d71-e41  |  b20-c63-d69-e12  |
|  a18-b57-c81-d43  | a13-b36-c56-e25  |  a16-b99-d95-e16  | a15-c84-d71-e43  |  b20-c63-d69-e24  |
|  a18-b57-c81-d45  | a13-b36-c56-e51  |  a16-b99-d95-e69  | a15-c84-d71-e72  |  b20-c63-d69-e36  |
|  a18-b57-c81-d48  | a13-b36-c56-e55  |  a16-b99-d95-e72  | a15-c84-d71-e90  |  b20-c63-d69-e98  |
|  a18-b57-c81-d50  | a13-b36-c56-e75  |  a17-b85-d33-e88  | a15-c84-d81-e36  |   b20-c63-d77-e9  |
|  a18-b57-c81-d65  | a13-b36-c72-e21  |  a17-b85-d33-e99  | a15-c84-d81-e41  |  b20-c63-d77-e12  |
|   a18-b61-c9-d49  | a13-b36-c72-e25  |  a17-b85-d43-e88  | a15-c84-d81-e72  |  b20-c63-d77-e41  |
|   a18-b61-c9-d65  | a13-b36-c72-e42  |  a17-b85-d43-e97  | a15-c84-d81-e90  |  b20-c63-d77-e98  |
|   a18-b61-c9-d93  | a13-b36-c72-e51  |  a17-b85-d43-e99  | a15-c84-d85-e36  |  b20-c63-d81-e24  |
|  a18-b61-c10-d49  | a13-b36-c72-e75  |  a17-b85-d67-e88  | a15-c84-d85-e39  |  b20-c63-d81-e36  |
|  a18-b61-c10-d65  | a13-b36-c72-e92  |  a17-b85-d67-e99  | a15-c84-d85-e41  |  b20-c63-d81-e41  |
|  a18-b61-c10-d93  | a13-b36-c72-e94  |  a18-b41-d13-e68  | a15-c84-d85-e43  |   b20-c63-d83-e9  |
|  a18-b61-c12-d49  | a13-b36-c75-e21  |  a18-b41-d22-e68  | a15-c84-d85-e72  |  b20-c63-d83-e12  |
|  a18-b61-c12-d65  | a13-b36-c75-e25  |  a18-b41-d22-e97  | a15-c84-d85-e90  |  b20-c63-d83-e98  |
|  a18-b61-c12-d93  | a13-b36-c75-e42  |  a18-b41-d45-e68  | a15-c84-d100-e36 |  b20-c63-d85-e36  |
|  a18-b61-c45-d43  | a13-b36-c75-e51  |  a18-b41-d45-e97  | a15-c84-d100-e41 |  b20-c63-d85-e41  |
|  a18-b61-c81-d43  | a13-b36-c75-e75  |  a18-b41-d48-e68  | a15-c84-d100-e72 |   b20-c63-d99-e9  |
|  a18-b61-c81-d49  | a13-b36-c75-e92  |  a18-b41-d50-e68  | a15-c84-d100-e90 |  b20-c63-d99-e12  |
|  a18-b61-c81-d65  | a13-b36-c75-e94  |  a18-b41-d50-e97  | a15-c86-d81-e36  |  b20-c63-d99-e41  |
|  a18-b61-c81-d93  | a13-b36-c80-e21  |  a18-b41-d65-e68  | a15-c86-d81-e41  |  b20-c74-d46-e12  |
|   a18-b85-c9-d49  | a13-b36-c80-e25  |  a18-b41-d65-e97  | a15-c86-d81-e52  |  b20-c74-d46-e24  |
|   a18-b85-c9-d50  | a13-b36-c80-e42  |  a18-b57-d13-e68  | a15-c86-d100-e36 |   b20-c74-d69-e9  |
|   a18-b85-c9-d65  | a13-b36-c80-e51  |  a18-b57-d22-e68  | a15-c86-d100-e41 |  b20-c74-d69-e12  |
|   a18-b85-c9-d93  | a13-b36-c80-e75  |  a18-b57-d22-e97  | a15-c86-d100-e52 |  b20-c74-d69-e24  |
|  a18-b85-c10-d49  | a13-b36-c80-e92  |  a18-b57-d43-e68  | a15-c86-d100-e64 |  b20-c74-d69-e98  |
|  a18-b85-c10-d65  | a13-b36-c80-e94  |  a18-b57-d43-e97  | a16-c16-d24-e38  |  b20-c76-d46-e12  |
|  a18-b85-c10-d93  | a13-b44-c14-e25  |  a18-b57-d45-e68  | a16-c16-d24-e39  |  b20-c76-d46-e24  |
|  a18-b85-c12-d49  | a13-b44-c14-e42  |  a18-b57-d45-e97  | a16-c16-d24-e43  |   b20-c76-d69-e9  |
|  a18-b85-c12-d50  | a13-b44-c14-e55  |  a18-b57-d48-e68  | a16-c16-d24-e56  |  b20-c76-d69-e12  |
|  a18-b85-c12-d65  | a13-b44-c34-e55  |  a18-b57-d50-e68  | a16-c16-d24-e72  |  b20-c76-d69-e24  |
|  a18-b85-c12-d93  | a13-b44-c34-e73  |  a18-b57-d50-e97  | a16-c16-d34-e38  |  b20-c76-d69-e98  |
|  a18-b85-c45-d43  | a13-b44-c56-e25  |  a18-b57-d65-e68  | a16-c16-d34-e39  |  b20-c84-d46-e36  |
|  a18-b85-c45-d50  | a13-b44-c56-e55  |  a18-b57-d65-e97  | a16-c16-d34-e43  |  b20-c84-d46-e41  |
|  a18-b85-c81-d43  | a13-b44-c56-e73  |  a18-b61-d43-e97  | a16-c16-d34-e56  |  b20-c84-d77-e41  |
|  a18-b85-c81-d49  | a13-b49-c55-e21  |  a18-b61-d49-e45  | a16-c16-d34-e70  |  b20-c84-d77-e69  |
|  a18-b85-c81-d50  | a13-b49-c55-e51  |  a18-b61-d65-e45  | a16-c16-d34-e72  |  b20-c84-d81-e36  |
|  a18-b85-c81-d65  | a13-b49-c55-e75  |  a18-b61-d65-e97  |  a16-c26-d2-e16  |  b20-c84-d81-e41  |
|  a18-b85-c81-d93  | a13-b49-c55-e94  |  a18-b61-d93-e45  |  a16-c26-d2-e38  |  b20-c84-d85-e36  |
|  a18-b100-c2-d22  | a13-b49-c56-e51  |  a18-b85-d43-e97  |  a16-c26-d2-e70  |  b20-c84-d85-e41  |
|  a18-b100-c2-d45  | a13-b49-c56-e75  |  a18-b85-d49-e45  | a16-c26-d47-e16  |  b20-c84-d85-e69  |
|  a18-b100-c2-d48  | a13-b49-c80-e21  |  a18-b85-d50-e97  | a16-c26-d47-e38  |  b20-c84-d95-e69  |
|  a18-b100-c2-d50  | a13-b49-c80-e51  |  a18-b85-d65-e45  | a16-c26-d47-e70  |  b20-c84-d99-e41  |
|  a18-b100-c2-d65  | a13-b49-c80-e75  |  a18-b85-d65-e97  |  a16-c34-d2-e16  |  b20-c84-d99-e69  |
|  a18-b100-c9-d13  | a13-b49-c80-e94  |  a18-b85-d93-e45  |  a16-c34-d2-e38  |  b20-c86-d46-e24  |
|  a18-b100-c9-d48  | a13-b60-c14-e25  |  a18-b100-d13-e68 |  a16-c34-d2-e39  |  b20-c86-d46-e36  |
|  a18-b100-c9-d50  | a13-b60-c14-e42  |  a18-b100-d22-e68 |  a16-c34-d2-e43  |  b20-c86-d46-e41  |
|  a18-b100-c9-d65  | a13-b60-c14-e55  |  a18-b100-d22-e97 |  a16-c34-d2-e56  |  b20-c86-d69-e24  |
|  a18-b100-c9-d70  | a13-b75-c14-e21  |  a18-b100-d45-e68 |  a16-c34-d2-e70  |  b20-c86-d69-e36  |
|  a18-b100-c12-d13 | a13-b75-c14-e25  |  a18-b100-d45-e97 | a16-c34-d47-e16  |  b20-c86-d81-e24  |
|  a18-b100-c12-d50 | a13-b75-c14-e42  |  a18-b100-d48-e68 | a16-c34-d47-e38  |  b20-c86-d81-e36  |
|  a18-b100-c12-d65 | a13-b75-c14-e51  |  a18-b100-d50-e68 | a16-c34-d47-e39  |  b20-c86-d81-e41  |
|  a18-b100-c12-d70 | a13-b75-c14-e75  |  a18-b100-d50-e97 | a16-c34-d47-e43  |  b20-c89-d46-e12  |
|  a18-b100-c19-d22 | a13-b75-c14-e92  |  a18-b100-d65-e68 | a16-c34-d47-e56  |  b20-c89-d46-e24  |
|  a18-b100-c19-d45 | a13-b75-c14-e94  |  a18-b100-d65-e97 | a16-c34-d47-e70  |  b20-c89-d46-e36  |
|  a18-b100-c19-d48 | a13-b75-c29-e21  |  a18-b100-d70-e68 |  a16-c41-d2-e16  |  b20-c89-d46-e41  |
|  a18-b100-c19-d50 | a13-b75-c29-e25  |   a19-b7-d73-e2   |  a16-c41-d2-e38  |  b20-c89-d69-e12  |
|  a18-b100-c19-d65 | a13-b75-c29-e42  |   a19-b7-d73-e5   |  a16-c41-d2-e39  |  b20-c89-d69-e24  |
|  a18-b100-c28-d13 | a13-b75-c29-e51  |   a19-b7-d73-e6   |  a16-c41-d2-e43  |  b20-c89-d69-e36  |
|  a18-b100-c28-d45 | a13-b75-c29-e75  |   a19-b7-d73-e20  |  a16-c41-d2-e56  |  b20-c89-d81-e24  |
|  a18-b100-c28-d48 | a13-b75-c29-e92  |   a19-b7-d73-e46  |  a16-c41-d2-e69  |  b20-c89-d81-e36  |
|  a18-b100-c28-d50 | a13-b75-c29-e94  |   a19-b7-d73-e84  |  a16-c41-d2-e70  |  b20-c89-d81-e41  |
|  a18-b100-c28-d65 | a13-b75-c32-e21  |   a19-b7-d73-e96  |  a16-c41-d2-e72  |  b20-c98-d46-e12  |
|  a18-b100-c28-d70 | a13-b75-c32-e51  |   a19-b7-d84-e2   | a16-c41-d24-e38  |  b20-c98-d46-e24  |
|  a18-b100-c53-d13 | a13-b75-c32-e75  |   a19-b7-d84-e5   | a16-c41-d24-e39  |  b20-c98-d46-e36  |
|  a18-b100-c53-d22 | a13-b75-c32-e92  |   a19-b7-d84-e6   | a16-c41-d24-e43  |   b20-c98-d69-e9  |
|  a18-b100-c53-d45 | a13-b75-c32-e94  |   a19-b7-d84-e20  | a16-c41-d24-e56  |  b20-c98-d69-e12  |
|  a18-b100-c53-d48 | a13-b75-c50-e21  |   a19-b7-d84-e46  | a16-c41-d24-e72  |  b20-c98-d69-e24  |
|  a18-b100-c53-d50 | a13-b75-c50-e42  |   a19-b7-d84-e84  | a16-c41-d34-e16  |  b20-c98-d69-e36  |
|  a18-b100-c53-d65 | a13-b75-c50-e51  |   a19-b7-d84-e96  | a16-c41-d34-e38  |  b20-c98-d69-e98  |
|  a18-b100-c81-d13 | a13-b75-c50-e75  |   a19-b7-d86-e5   | a16-c41-d34-e39  |   b20-c99-d28-e9  |
|  a18-b100-c81-d22 | a13-b75-c50-e92  |   a19-b7-d86-e6   | a16-c41-d34-e43  |  b20-c99-d28-e12  |
|  a18-b100-c81-d45 | a13-b75-c50-e94  |   a19-b7-d86-e20  | a16-c41-d34-e56  |  b20-c99-d28-e69  |
|  a18-b100-c81-d48 | a13-b75-c55-e21  |   a19-b7-d86-e96  | a16-c41-d34-e70  |  b20-c99-d28-e98  |
|  a18-b100-c81-d50 | a13-b75-c55-e51  |   a19-b7-d97-e5   | a16-c41-d34-e72  |  b20-c99-d46-e12  |
|  a18-b100-c81-d65 | a13-b75-c55-e75  |   a19-b7-d97-e6   | a16-c41-d47-e16  |   b20-c99-d54-e9  |
|  a18-b100-c81-d70 | a13-b75-c55-e94  |   a19-b7-d97-e20  | a16-c41-d47-e38  |  b20-c99-d54-e12  |
|   a19-b7-c3-d73   | a13-b75-c56-e25  |   a19-b7-d97-e96  | a16-c41-d47-e39  |  b20-c99-d54-e98  |
|   a19-b7-c3-d84   | a13-b75-c56-e51  |   a19-b27-d37-e5  | a16-c41-d47-e43  |   b20-c99-d69-e9  |
|   a19-b7-c51-d73  | a13-b75-c56-e75  |   a19-b27-d37-e6  | a16-c41-d47-e56  |  b20-c99-d69-e12  |
|   a19-b7-c51-d84  | a13-b75-c72-e21  |  a19-b27-d37-e20  | a16-c41-d47-e69  |  b20-c99-d69-e98  |
|   a19-b7-c51-d86  | a13-b75-c72-e25  |  a19-b27-d37-e96  | a16-c41-d47-e70  |   b20-c99-d77-e9  |
|   a19-b7-c51-d97  | a13-b75-c72-e42  |   a19-b27-d73-e2  | a16-c41-d47-e72  |  b20-c99-d77-e12  |
|   a19-b7-c59-d73  | a13-b75-c72-e51  |   a19-b27-d73-e5  | a16-c41-d85-e16  |  b20-c99-d77-e69  |
|   a19-b7-c59-d84  | a13-b75-c72-e75  |   a19-b27-d73-e6  | a16-c41-d85-e38  |  b20-c99-d77-e98  |
|   a19-b7-c59-d86  | a13-b75-c72-e92  |  a19-b27-d73-e20  | a16-c41-d85-e39  |   b20-c99-d83-e9  |
|   a19-b7-c59-d97  | a13-b75-c72-e94  |  a19-b27-d73-e46  | a16-c41-d85-e43  |  b20-c99-d83-e12  |
|   a19-b7-c88-d73  | a13-b75-c75-e21  |  a19-b27-d73-e84  | a16-c41-d85-e56  |  b20-c99-d83-e69  |
|   a19-b7-c88-d84  | a13-b75-c75-e25  |  a19-b27-d73-e96  | a16-c41-d85-e69  |  b20-c99-d83-e98  |
|   a19-b7-c88-d86  | a13-b75-c75-e42  |   a19-b27-d84-e2  | a16-c41-d85-e72  |  b20-c99-d95-e69  |
|   a19-b7-c88-d97  | a13-b75-c75-e51  |   a19-b27-d84-e5  | a16-c41-d95-e16  |   b20-c99-d99-e9  |
|   a19-b27-c3-d73  | a13-b75-c75-e75  |   a19-b27-d84-e6  | a16-c41-d95-e69  |  b20-c99-d99-e12  |
|   a19-b27-c3-d84  | a13-b75-c75-e92  |  a19-b27-d84-e20  | a16-c41-d95-e72  |  b20-c99-d99-e69  |
|  a19-b27-c51-d37  | a13-b75-c75-e94  |  a19-b27-d84-e46  |  a16-c49-d2-e16  |   b21-c8-d15-e7   |
|  a19-b27-c51-d73  | a13-b75-c80-e21  |  a19-b27-d84-e84  |  a16-c49-d2-e38  |   b21-c8-d15-e89  |
|  a19-b27-c51-d84  | a13-b75-c80-e25  |  a19-b27-d84-e96  |  a16-c49-d2-e39  |   b21-c8-d56-e7   |
|  a19-b27-c51-d86  | a13-b75-c80-e42  |   a19-b27-d86-e5  |  a16-c49-d2-e43  |   b21-c8-d56-e89  |
|  a19-b27-c51-d97  | a13-b75-c80-e51  |   a19-b27-d86-e6  |  a16-c49-d2-e56  |   b21-c8-d91-e7   |
|  a19-b27-c59-d37  | a13-b75-c80-e75  |  a19-b27-d86-e20  |  a16-c49-d2-e70  |   b21-c8-d91-e89  |
|  a19-b27-c59-d73  | a13-b75-c80-e92  |  a19-b27-d86-e96  |  a16-c49-d2-e72  |   b21-c20-d5-e26  |
|  a19-b27-c59-d84  | a13-b75-c80-e94  |   a19-b27-d97-e5  | a16-c49-d24-e38  |   b21-c20-d5-e87  |
|  a19-b27-c59-d86  | a13-b78-c14-e25  |   a19-b27-d97-e6  | a16-c49-d24-e39  |   b21-c20-d5-e89  |
|  a19-b27-c59-d97  | a13-b78-c14-e42  |  a19-b27-d97-e20  | a16-c49-d24-e43  |   b21-c20-d5-e93  |
|  a19-b27-c88-d73  | a13-b78-c14-e51  |  a19-b27-d97-e96  | a16-c49-d24-e56  |   b21-c20-d15-e7  |
|  a19-b27-c88-d84  | a13-b78-c14-e55  |   a19-b43-d37-e5  | a16-c49-d24-e72  |  b21-c20-d15-e26  |
|  a19-b27-c88-d86  | a13-b78-c14-e92  |   a19-b43-d37-e6  | a16-c49-d34-e16  |  b21-c20-d15-e62  |
|  a19-b27-c88-d97  | a13-b95-c14-e25  |  a19-b43-d37-e11  | a16-c49-d34-e38  |  b21-c20-d15-e87  |
|  a19-b43-c51-d37  | a13-b95-c14-e55  |  a19-b43-d37-e20  | a16-c49-d34-e39  |  b21-c20-d15-e89  |
|  a19-b43-c51-d73  | a13-b95-c34-e55  |  a19-b43-d37-e96  | a16-c49-d34-e43  |  b21-c20-d15-e93  |
|  a19-b43-c51-d84  | a13-b95-c34-e73  |   a19-b43-d73-e5  | a16-c49-d34-e56  |   b21-c20-d20-e7  |
|  a19-b43-c51-d86  | a13-b95-c56-e25  |   a19-b43-d73-e6  | a16-c49-d34-e70  |  b21-c20-d20-e26  |
|  a19-b43-c51-d97  | a13-b95-c56-e55  |  a19-b43-d73-e20  | a16-c49-d34-e72  |  b21-c20-d20-e62  |
|  a19-b43-c59-d37  | a13-b95-c56-e73  |  a19-b43-d73-e46  | a16-c49-d47-e16  |  b21-c20-d20-e87  |
|  a19-b43-c59-d73  | a14-b26-c25-e27  |  a19-b43-d73-e96  | a16-c49-d47-e38  |  b21-c20-d20-e89  |
|  a19-b43-c59-d84  | a14-b26-c25-e30  |   a19-b43-d84-e5  | a16-c49-d47-e39  |  b21-c20-d20-e93  |
|  a19-b43-c59-d86  | a14-b26-c25-e50  |   a19-b43-d84-e6  | a16-c49-d47-e43  |   b21-c20-d56-e7  |
|  a19-b43-c59-d97  | a14-b26-c25-e78  |  a19-b43-d84-e20  | a16-c49-d47-e56  |  b21-c20-d56-e62  |
|  a19-b43-c88-d73  | a14-b26-c25-e79  |  a19-b43-d84-e46  | a16-c49-d47-e70  |  b21-c20-d56-e89  |
|  a19-b43-c88-d84  | a14-b26-c25-e95  |  a19-b43-d84-e96  | a16-c49-d47-e72  |   b21-c20-d91-e7  |
|  a19-b43-c88-d86  | a14-b26-c55-e30  |   a19-b43-d86-e5  | a16-c49-d85-e16  |  b21-c20-d91-e26  |
|  a19-b43-c88-d97  | a14-b26-c55-e78  |   a19-b43-d86-e6  | a16-c49-d85-e38  |  b21-c20-d91-e62  |
|  a19-b93-c51-d37  | a14-b26-c64-e27  |  a19-b43-d86-e11  | a16-c49-d85-e39  |  b21-c20-d91-e87  |
|  a19-b93-c51-d73  | a14-b26-c64-e30  |  a19-b43-d86-e20  | a16-c49-d85-e43  |  b21-c20-d91-e89  |
|  a19-b93-c51-d84  | a14-b26-c64-e50  |  a19-b43-d86-e96  | a16-c49-d85-e56  |  b21-c20-d91-e93  |
|  a19-b93-c51-d86  | a14-b26-c64-e79  |   a19-b43-d97-e5  | a16-c49-d85-e72  |   b21-c46-d20-e7  |
|  a19-b93-c51-d97  | a14-b26-c96-e27  |   a19-b43-d97-e6  |  a16-c66-d2-e16  |  b21-c46-d20-e62  |
|  a19-b93-c59-d37  | a14-b26-c96-e30  |  a19-b43-d97-e11  |  a16-c66-d2-e38  |  b21-c46-d20-e89  |
|  a19-b93-c59-d73  | a14-b26-c96-e50  |  a19-b43-d97-e20  |  a16-c66-d2-e39  |   b21-c46-d56-e7  |
|  a19-b93-c59-d84  | a14-b26-c96-e78  |  a19-b43-d97-e96  |  a16-c66-d2-e56  |  b21-c46-d56-e62  |
|  a19-b93-c59-d86  | a14-b26-c96-e79  |   a19-b93-d37-e5  |  a16-c66-d2-e70  |  b21-c46-d56-e89  |
|  a19-b93-c59-d97  | a14-b26-c96-e95  |   a19-b93-d37-e6  | a16-c66-d47-e16  |   b21-c46-d91-e7  |
|  a19-b93-c88-d73  | a14-b26-c100-e78 |  a19-b93-d37-e11  | a16-c66-d47-e38  |  b21-c46-d91-e62  |
|  a19-b93-c88-d84  | a14-b26-c100-e95 |  a19-b93-d37-e20  | a16-c66-d47-e39  |  b21-c46-d91-e89  |
|  a19-b93-c88-d86  | a14-b30-c22-e78  |  a19-b93-d37-e96  | a16-c66-d47-e56  |   b21-c85-d15-e7  |
|  a19-b93-c88-d97  | a14-b30-c22-e95  |   a19-b93-d73-e5  | a16-c66-d47-e70  |  b21-c85-d15-e26  |
|   a20-b5-c45-d33  | a14-b30-c25-e27  |   a19-b93-d73-e6  | a16-c84-d24-e38  |  b21-c85-d15-e62  |
|   a20-b5-c45-d67  | a14-b30-c25-e50  |  a19-b93-d73-e20  | a16-c84-d24-e39  |  b21-c85-d15-e89  |
|   a20-b5-c77-d6   | a14-b30-c25-e78  |  a19-b93-d73-e96  | a16-c84-d24-e43  |   b21-c85-d20-e7  |
|   a20-b5-c77-d33  | a14-b30-c25-e79  |   a19-b93-d84-e5  | a16-c84-d24-e56  |  b21-c85-d20-e26  |
|   a20-b5-c77-d67  | a14-b30-c25-e95  |   a19-b93-d84-e6  | a16-c84-d24-e72  |  b21-c85-d20-e62  |
|   a20-b15-c77-d6  | a14-b30-c96-e27  |  a19-b93-d84-e20  | a16-c84-d34-e16  |  b21-c85-d20-e89  |
|  a20-b15-c77-d33  | a14-b30-c96-e50  |  a19-b93-d84-e96  | a16-c84-d34-e38  |   b21-c85-d56-e7  |
|  a20-b15-c77-d67  | a14-b30-c96-e78  |   a19-b93-d86-e5  | a16-c84-d34-e39  |  b21-c85-d56-e62  |
|  a20-b61-c45-d33  | a14-b30-c96-e79  |   a19-b93-d86-e6  | a16-c84-d34-e43  |  b21-c85-d56-e89  |
|  a20-b61-c45-d43  | a14-b30-c96-e95  |  a19-b93-d86-e11  | a16-c84-d34-e56  |   b21-c85-d91-e7  |
|  a20-b61-c45-d67  | a14-b30-c100-e78 |  a19-b93-d86-e20  | a16-c84-d34-e72  |  b21-c85-d91-e26  |
|   a20-b61-c77-d6  | a14-b30-c100-e95 |  a19-b93-d86-e96  | a16-c84-d85-e16  |  b21-c85-d91-e62  |
