+--------------+---------------+--------------+--------------+--------------+--------------+---------------+--------------+---------------+--------------+
|    a-b-c     |     a-b-d     |    a-b-e     |    a-c-d     |    a-c-e     |    a-d-e     |     b-c-d     |    b-c-e     |     b-d-e     |    c-d-e     |
|  a13-b6-c56  |  a13-b44-d68  | a13-b23-e75  | a14-c25-d12  | a11-c90-e44  |  a15-d4-e36  |  b17-c47-d95  | b14-c98-e12  |  b17-d28-e71  | c16-d24-e43  |
|  a13-b6-c80  |  a13-b44-d98  | a13-b23-e92  | a14-c25-d17  | a11-c90-e47  |  a15-d4-e39  |  b17-c47-d99  | b14-c98-e24  |   b17-d54-e8  | c16-d24-e56  |
| a13-b16-c14  |  a13-b49-d26  | a13-b23-e94  | a14-c25-d51  |  a11-c95-e3  |  a15-d4-e41  |  b17-c99-d28  | b14-c98-e45  |  b17-d54-e61  | c16-d24-e72  |
| a13-b16-c29  |  a13-b49-d51  | a13-b36-e21  | a14-c55-d12  | a11-c95-e14  |  a15-d4-e43  |  b17-c99-d54  | b14-c98-e58  |   b17-d72-e8  | c16-d24-e73  |
| a13-b16-c32  |  a13-b60-d41  | a13-b36-e25  | a14-c55-d16  | a11-c95-e22  |  a15-d4-e52  |  b17-c99-d77  | b14-c98-e91  |  b17-d72-e28  | c16-d24-e90  |
| a13-b16-c50  |  a13-b60-d59  | a13-b36-e42  | a14-c55-d17  | a11-c95-e44  |  a15-d4-e54  |  b17-c99-d83  | b14-c98-e98  |  b17-d72-e35  | c16-d34-e38  |
| a13-b16-c55  |  a13-b60-d68  | a13-b36-e51  | a14-c55-d51  | a11-c95-e47  |  a15-d4-e72  |  b17-c99-d95  | b14-c98-e100 |  b17-d72-e53  | c16-d34-e39  |
| a13-b16-c56  |  a13-b60-d98  | a13-b36-e55  | a14-c64-d11  | a11-c95-e77  |  a15-d4-e90  |  b17-c99-d99  |  b14-c99-e9  |  b17-d72-e61  | c16-d34-e43  |
| a13-b16-c72  |  a13-b75-d26  | a13-b36-e75  | a14-c64-d12  | a12-c35-e22  | a15-d24-e33  |   b18-c26-d2  | b14-c99-e12  |  b17-d72-e63  | c16-d34-e56  |
| a13-b16-c75  |  a13-b75-d41  | a13-b36-e92  | a14-c64-d51  | a12-c35-e44  | a15-d24-e39  |  b18-c26-d47  | b14-c99-e98  |  b17-d72-e69  | c16-d34-e70  |
| a13-b16-c80  |  a13-b75-d51  | a13-b36-e94  | a14-c96-d11  | a12-c35-e49  | a15-d24-e41  |   b18-c34-d2  | b15-c13-e32  |  b17-d72-e71  | c16-d34-e72  |
| a13-b23-c14  |  a13-b78-d41  | a13-b44-e25  | a14-c96-d12  | a12-c35-e65  | a15-d24-e43  |  b18-c34-d47  | b15-c13-e83  |   b17-d77-e8  | c16-d34-e90  |
| a13-b23-c29  |  a13-b78-d59  | a13-b44-e42  | a14-c96-d17  | a12-c35-e82  | a15-d24-e52  |   b18-c41-d2  | b15-c27-e32  |  b17-d77-e69  | c16-d71-e30  |
| a13-b23-c32  |  a13-b78-d68  | a13-b44-e55  | a14-c96-d51  | a12-c44-e22  | a15-d24-e54  |  b18-c41-d24  | b15-c27-e83  |  b17-d77-e71  | c16-d71-e33  |
| a13-b23-c50  |  a13-b78-d98  | a13-b44-e73  | a14-c100-d12 | a12-c44-e44  | a15-d24-e72  |  b18-c41-d34  | b15-c27-e100 |   b17-d79-e8  | c16-d71-e39  |
| a13-b23-c55  |  a13-b95-d26  | a13-b49-e21  | a14-c100-d16 | a12-c44-e49  | a15-d24-e90  |  b18-c41-d47  | b15-c43-e32  |  b17-d79-e28  | c16-d71-e43  |
| a13-b23-c72  |  a13-b95-d51  | a13-b49-e51  | a14-c100-d17 | a12-c44-e65  | a15-d34-e39  |  b18-c41-d85  | b15-c43-e83  |  b17-d79-e61  | c16-d71-e56  |
| a13-b23-c75  |  a14-b26-d11  | a13-b49-e75  |  a15-c16-d4  | a12-c44-e82  | a15-d34-e41  |  b18-c41-d95  | b15-c43-e100 |  b17-d79-e63  | c16-d71-e72  |
| a13-b23-c80  |  a14-b26-d12  | a13-b49-e94  | a15-c16-d24  | a12-c57-e22  | a15-d34-e43  |   b18-c49-d2  | b15-c60-e32  |  b17-d79-e71  | c16-d71-e73  |
| a13-b36-c14  |  a14-b26-d17  | a13-b60-e25  | a15-c16-d34  | a12-c57-e44  | a15-d34-e72  |  b18-c49-d24  | b15-c60-e83  |   b17-d83-e8  | c16-d71-e90  |
| a13-b36-c29  |  a14-b26-d51  | a13-b60-e42  | a15-c16-d71  | a12-c57-e49  | a15-d34-e90  |  b18-c49-d34  | b15-c60-e100 |  b17-d83-e28  |  c17-d19-e5  |
| a13-b36-c32  |  a14-b30-d11  | a13-b60-e55  |  a15-c41-d4  | a12-c57-e82  | a15-d71-e33  |  b18-c49-d47  | b15-c69-e32  |  b17-d83-e61  | c17-d19-e11  |
| a13-b36-c50  |  a14-b30-d12  | a13-b75-e21  | a15-c41-d24  | a12-c62-e22  | a15-d71-e39  |  b18-c49-d85  | b15-c69-e83  |  b17-d83-e69  | c17-d19-e37  |
| a13-b36-c55  |  a14-b30-d16  | a13-b75-e25  | a15-c41-d34  | a12-c62-e44  | a15-d71-e41  |   b18-c66-d2  | b15-c69-e100 |  b17-d83-e71  |  c17-d21-e5  |
| a13-b36-c56  |  a14-b30-d17  | a13-b75-e42  | a15-c41-d71  | a12-c62-e49  | a15-d71-e43  |  b18-c66-d47  | b15-c77-e32  |   b17-d95-e8  | c17-d21-e11  |
| a13-b36-c72  |  a14-b30-d51  | a13-b75-e51  | a15-c41-d81  | a12-c62-e82  | a15-d71-e52  |  b18-c84-d24  | b15-c77-e83  |  b17-d95-e28  | c17-d21-e37  |
| a13-b36-c75  |  a14-b33-d12  | a13-b75-e75  | a15-c41-d85  | a12-c78-e22  | a15-d71-e54  |  b18-c84-d34  | b15-c77-e88  |  b17-d95-e69  | c17-d23-e11  |
| a13-b36-c80  |  a14-b33-d16  | a13-b75-e92  |  a15-c49-d4  | a12-c78-e44  | a15-d71-e72  |  b18-c84-d85  | b15-c77-e99  |  b17-d95-e71  | c17-d23-e37  |
| a13-b44-c14  |  a14-b33-d17  | a13-b75-e94  | a15-c49-d24  | a12-c78-e49  | a15-d71-e90  |  b18-c84-d95  | b15-c94-e32  |   b17-d99-e8  |  c17-d37-e5  |
| a13-b44-c34  |  a14-b33-d51  | a13-b78-e25  | a15-c49-d34  | a12-c78-e65  | a15-d81-e36  |   b19-c1-d3   | b15-c94-e83  |  b17-d99-e69  | c17-d37-e11  |
| a13-b44-c56  |  a14-b49-d12  | a13-b78-e42  | a15-c49-d71  | a12-c78-e82  | a15-d81-e41  |   b19-c1-d27  | b15-c94-e100 |  b17-d99-e71  | c17-d37-e37  |
| a13-b49-c55  |  a14-b49-d16  | a13-b78-e51  | a15-c49-d85  | a12-c79-e22  | a15-d81-e52  |   b19-c1-d36  | b16-c14-e21  |   b18-d2-e16  |  c17-d53-e5  |
| a13-b49-c56  |  a14-b49-d17  | a13-b78-e55  |  a15-c61-d4  | a12-c79-e44  | a15-d81-e72  |   b19-c1-d38  | b16-c14-e25  |   b18-d2-e34  | c17-d53-e11  |
| a13-b49-c80  |  a14-b49-d51  | a13-b78-e92  | a15-c61-d24  | a12-c79-e49  | a15-d81-e90  |   b19-c1-d76  | b16-c14-e42  |   b18-d2-e38  | c17-d53-e37  |
| a13-b60-c14  |  a14-b74-d12  | a13-b95-e25  | a15-c61-d34  | a12-c79-e65  | a15-d85-e36  |   b19-c1-d89  | b16-c14-e51  |   b18-d2-e39  |  c17-d82-e5  |
| a13-b75-c14  |  a14-b74-d16  | a13-b95-e55  | a15-c61-d71  | a12-c79-e82  | a15-d85-e39  |   b19-c5-d3   | b16-c14-e55  |   b18-d2-e43  | c17-d82-e11  |
| a13-b75-c29  |  a14-b74-d17  | a13-b95-e73  | a15-c61-d81  | a12-c90-e22  | a15-d85-e41  |   b19-c5-d27  | b16-c14-e75  |   b18-d2-e56  | c17-d82-e37  |
| a13-b75-c32  |  a14-b80-d12  | a14-b26-e27  | a15-c61-d85  | a12-c90-e44  | a15-d85-e43  |   b19-c5-d38  | b16-c14-e86  |   b18-d2-e69  |  c17-d87-e5  |
| a13-b75-c50  |  a14-b80-d16  | a14-b26-e30  | a15-c61-d100 | a12-c90-e49  | a15-d85-e72  |   b19-c5-d76  | b16-c14-e92  |   b18-d2-e70  | c17-d87-e11  |
| a13-b75-c55  |  a14-b80-d17  | a14-b26-e50  |  a15-c73-d4  | a12-c90-e82  | a15-d85-e90  |   b19-c5-d89  | b16-c14-e94  |   b18-d2-e72  | c17-d87-e37  |
| a13-b75-c56  |  a14-b80-d51  | a14-b26-e78  | a15-c73-d24  | a13-c14-e21  | a15-d100-e33 |   b19-c11-d3  | b16-c29-e21  |   b18-d2-e73  |  c18-d7-e58  |
| a13-b75-c72  |  a14-b97-d12  | a14-b26-e79  | a15-c73-d34  | a13-c14-e25  | a15-d100-e36 |  b19-c11-d27  | b16-c29-e25  |  b18-d24-e38  |  c18-d7-e60  |
| a13-b75-c75  |  a14-b97-d16  | a14-b26-e95  | a15-c73-d71  | a13-c14-e42  | a15-d100-e41 |  b19-c11-d36  | b16-c29-e42  |  b18-d24-e39  | c18-d7-e100  |
| a13-b75-c80  |  a14-b97-d17  | a14-b30-e27  | a15-c73-d81  | a13-c14-e51  | a15-d100-e52 |  b19-c11-d38  | b16-c29-e51  |  b18-d24-e43  |  c18-d8-e57  |
| a13-b78-c14  |  a14-b97-d51  | a14-b30-e50  | a15-c73-d85  | a13-c14-e55  | a15-d100-e54 |  b19-c11-d76  | b16-c29-e75  |  b18-d24-e56  |  c18-d8-e58  |
| a13-b95-c14  |  a15-b42-d34  | a14-b30-e78  | a15-c73-d100 | a13-c14-e75  | a15-d100-e64 |   b19-c21-d3  | b16-c29-e86  |  b18-d24-e72  |  c18-d8-e60  |
| a13-b95-c34  |  a15-b42-d81  | a14-b30-e79  |  a15-c82-d4  | a13-c14-e92  | a15-d100-e72 |  b19-c21-d27  | b16-c29-e92  |  b18-d24-e73  |  c18-d8-e91  |
| a13-b95-c56  |  a15-b42-d85  | a14-b30-e95  | a15-c82-d24  | a13-c14-e94  | a15-d100-e90 |  b19-c21-d38  | b16-c29-e94  |  b18-d34-e16  | c18-d8-e100  |
| a14-b26-c25  |   a15-b48-d4  | a14-b33-e78  | a15-c82-d71  | a13-c29-e21  |  a16-d2-e16  |  b19-c21-d76  | b16-c32-e21  |  b18-d34-e38  |  c18-d9-e57  |
| a14-b26-c55  |  a15-b48-d24  | a14-b33-e95  | a15-c82-d100 | a13-c29-e25  |  a16-d2-e38  |  b19-c21-d89  | b16-c32-e51  |  b18-d34-e39  |  c18-d9-e58  |
| a14-b26-c64  |  a15-b48-d34  | a14-b49-e30  |  a15-c84-d4  | a13-c29-e42  |  a16-d2-e39  |   b19-c48-d3  | b16-c32-e75  |  b18-d34-e43  |  c18-d9-e91  |
| a14-b26-c96  |  a15-b48-d81  | a14-b49-e50  | a15-c84-d24  | a13-c29-e51  |  a16-d2-e43  |  b19-c48-d27  | b16-c32-e86  |  b18-d34-e56  | c18-d9-e100  |
| a14-b26-c100 |  a15-b48-d85  | a14-b49-e78  | a15-c84-d34  | a13-c29-e75  |  a16-d2-e56  |  b19-c48-d36  | b16-c32-e92  |  b18-d34-e70  |  c18-d39-e9  |
| a14-b30-c22  |  a15-b48-d100 | a14-b74-e78  | a15-c84-d71  | a13-c29-e92  |  a16-d2-e69  |  b19-c48-d38  | b16-c32-e94  |  b18-d34-e72  | c18-d39-e19  |
| a14-b30-c25  |   a15-b53-d4  | a14-b74-e95  | a15-c84-d81  | a13-c29-e94  |  a16-d2-e70  |  b19-c48-d76  | b16-c50-e21  |  b18-d47-e16  | c18-d39-e57  |
| a14-b30-c96  |  a15-b53-d24  | a14-b80-e30  | a15-c84-d85  | a13-c32-e21  |  a16-d2-e72  |  b19-c48-d89  | b16-c50-e42  |  b18-d47-e34  | c18-d39-e91  |
| a14-b30-c100 |  a15-b53-d34  | a14-b80-e78  | a15-c84-d100 | a13-c32-e51  | a16-d24-e38  |  b19-c52-d36  | b16-c50-e51  |  b18-d47-e38  | c18-d39-e98  |
| a14-b33-c22  |  a15-b53-d71  | a14-b80-e95  | a15-c86-d81  | a13-c32-e75  | a16-d24-e39  |  b19-c52-d38  | b16-c50-e75  |  b18-d47-e39  |  c18-d42-e9  |
| a14-b33-c25  |   a15-b69-d4  | a14-b97-e30  | a15-c86-d100 | a13-c32-e92  | a16-d24-e43  |  b19-c52-d76  | b16-c50-e86  |  b18-d47-e43  | c18-d42-e19  |
| a14-b33-c55  |  a15-b69-d24  | a14-b97-e78  | a16-c16-d24  | a13-c32-e94  | a16-d24-e56  |   b19-c58-d3  | b16-c50-e92  |  b18-d47-e56  | c18-d42-e57  |
| a14-b33-c100 |  a15-b69-d34  | a14-b97-e95  | a16-c16-d34  | a13-c34-e55  | a16-d24-e72  |  b19-c58-d27  | b16-c50-e94  |  b18-d47-e69  | c18-d42-e60  |
| a14-b49-c22  |  a15-b69-d71  | a15-b42-e41  |  a16-c26-d2  | a13-c34-e73  | a16-d34-e16  |  b19-c58-d38  | b16-c55-e21  |  b18-d47-e70  | c18-d42-e91  |
| a14-b49-c25  |  a15-b69-d100 | a15-b42-e72  | a16-c26-d47  | a13-c50-e21  | a16-d34-e38  |  b19-c58-d76  | b16-c55-e51  |  b18-d47-e72  | c18-d42-e98  |
| a14-b49-c55  |   a15-b99-d4  | a15-b48-e36  |  a16-c34-d2  | a13-c50-e42  | a16-d34-e39  |  b19-c58-d89  | b16-c55-e75  |  b18-d85-e16  | c18-d44-e19  |
| a14-b49-c96  |  a15-b99-d24  | a15-b48-e41  | a16-c34-d47  | a13-c50-e51  | a16-d34-e43  |  b19-c68-d27  | b16-c55-e94  |  b18-d85-e38  | c18-d44-e57  |
| a14-b74-c22  |  a15-b99-d34  | a15-b48-e52  |  a16-c41-d2  | a13-c50-e75  | a16-d34-e56  |  b19-c68-d36  | b16-c56-e25  |  b18-d85-e39  | c18-d44-e60  |
| a14-b74-c25  |  a15-b99-d71  | a15-b48-e64  | a16-c41-d24  | a13-c50-e92  | a16-d34-e70  |  b19-c68-d38  | b16-c56-e51  |  b18-d85-e43  | c18-d44-e91  |
| a14-b74-c100 |  a15-b99-d85  | a15-b48-e72  | a16-c41-d34  | a13-c50-e94  | a16-d34-e72  |  b19-c68-d76  | b16-c56-e55  |  b18-d85-e56  | c18-d57-e57  |
| a14-b80-c22  |   a16-b4-d2   | a15-b48-e90  | a16-c41-d47  | a13-c55-e21  | a16-d47-e16  |  b19-c93-d36  | b16-c56-e75  |  b18-d85-e69  | c18-d57-e58  |
| a14-b80-c25  |   a16-b4-d47  | a15-b53-e39  | a16-c41-d85  | a13-c55-e51  | a16-d47-e38  |  b19-c93-d38  | b16-c72-e21  |  b18-d85-e72  | c18-d57-e60  |
| a14-b80-c55  |   a16-b18-d2  | a15-b53-e43  | a16-c41-d95  | a13-c55-e75  | a16-d47-e39  |  b19-c93-d76  | b16-c72-e25  |  b18-d95-e16  | c18-d57-e91  |
| a14-b80-c100 |  a16-b18-d24  | a15-b53-e72  |  a16-c49-d2  | a13-c55-e94  | a16-d47-e43  |  b20-c47-d28  | b16-c72-e42  |  b18-d95-e69  | c18-d57-e98  |
| a14-b97-c22  |  a16-b18-d34  | a15-b53-e90  | a16-c49-d24  | a13-c56-e25  | a16-d47-e56  |  b20-c47-d54  | b16-c72-e51  |  b18-d95-e72  | c18-d57-e100 |
| a14-b97-c25  |  a16-b18-d47  | a15-b69-e33  | a16-c49-d34  | a13-c56-e51  | a16-d47-e69  |  b20-c47-d77  | b16-c72-e75  |   b19-d3-e4   | c18-d61-e57  |
| a14-b97-c55  |  a16-b18-d85  | a15-b69-e39  | a16-c49-d47  | a13-c56-e55  | a16-d47-e70  |  b20-c47-d83  | b16-c72-e86  |   b19-d3-e31  | c18-d61-e58  |
| a14-b97-c100 |  a16-b18-d95  | a15-b69-e43  | a16-c49-d85  | a13-c56-e73  | a16-d47-e72  |  b20-c47-d95  | b16-c72-e92  |   b19-d3-e67  | c18-d61-e91  |
| a15-b42-c41  |  a16-b24-d85  | a15-b69-e54  |  a16-c66-d2  | a13-c56-e75  | a16-d85-e16  |  b20-c47-d99  | b16-c72-e94  |   b19-d3-e74  | c18-d61-e100 |
| a15-b42-c61  |  a16-b24-d95  | a15-b69-e72  | a16-c66-d47  | a13-c72-e21  | a16-d85-e38  |  b20-c63-d28  | b16-c75-e21  |   b19-d27-e4  | c18-d80-e57  |
| a15-b42-c73  |  a16-b42-d34  | a15-b69-e90  | a16-c84-d24  | a13-c72-e25  | a16-d85-e39  |  b20-c63-d46  | b16-c75-e25  |  b19-d27-e31  | c18-d80-e58  |
| a15-b42-c84  |  a16-b42-d85  | a15-b99-e39  | a16-c84-d34  | a13-c72-e42  | a16-d85-e43  |  b20-c63-d69  | b16-c75-e42  |  b19-d27-e40  | c18-d80-e60  |
| a15-b48-c41  |  a16-b42-d95  | a15-b99-e41  | a16-c84-d85  | a13-c72-e51  | a16-d85-e56  |  b20-c63-d77  | b16-c75-e51  |  b19-d27-e67  | c18-d80-e100 |
| a15-b48-c61  |  a16-b53-d24  | a15-b99-e43  | a16-c84-d95  | a13-c72-e75  | a16-d85-e69  |  b20-c63-d81  | b16-c75-e75  |  b19-d27-e74  | c19-d22-e15  |
| a15-b48-c73  |  a16-b53-d34  | a15-b99-e72  | a17-c45-d22  | a13-c72-e92  | a16-d85-e72  |  b20-c63-d83  | b16-c75-e86  |   b19-d36-e4  | c19-d22-e37  |
| a15-b48-c84  |   a16-b66-d2  | a15-b99-e90  | a17-c45-d33  | a13-c72-e94  | a16-d95-e16  |  b20-c63-d85  | b16-c75-e92  |  b19-d36-e40  | c19-d22-e48  |
| a15-b48-c86  |  a16-b66-d34  |  a16-b4-e16  | a17-c45-d43  | a13-c75-e21  | a16-d95-e69  |  b20-c63-d95  | b16-c75-e94  |  b19-d36-e67  | c19-d22-e68  |
| a15-b53-c16  |  a16-b66-d47  |  a16-b4-e38  | a17-c45-d67  | a13-c75-e25  | a16-d95-e72  |  b20-c63-d99  | b16-c80-e21  |   b19-d38-e4  | c19-d22-e96  |
| a15-b53-c41  |  a16-b66-d85  |  a16-b4-e39  | a17-c45-d90  | a13-c75-e42  | a17-d22-e48  |  b20-c74-d46  | b16-c80-e25  |  b19-d38-e31  | c19-d22-e97  |
| a15-b53-c49  |  a16-b66-d95  |  a16-b4-e43  | a17-c77-d33  | a13-c75-e51  | a17-d22-e97  |  b20-c74-d69  | b16-c80-e42  |  b19-d38-e40  | c19-d43-e15  |
| a15-b69-c16  |   a16-b99-d2  |  a16-b4-e56  | a17-c77-d67  | a13-c75-e75  | a17-d33-e88  |  b20-c76-d46  | b16-c80-e51  |  b19-d38-e67  | c19-d43-e48  |
| a15-b69-c41  |  a16-b99-d24  |  a16-b4-e70  | a17-c87-d22  | a13-c75-e92  | a17-d33-e99  |  b20-c76-d69  | b16-c80-e75  |  b19-d38-e74  | c19-d43-e68  |
| a15-b69-c49  |  a16-b99-d34  | a16-b18-e16  | a17-c87-d33  | a13-c75-e94  | a17-d43-e48  |  b20-c84-d46  | b16-c80-e86  |   b19-d76-e4  | c19-d43-e97  |
| a15-b69-c73  |  a16-b99-d47  | a16-b18-e38  | a17-c87-d43  | a13-c80-e21  | a17-d43-e88  |  b20-c84-d77  | b16-c80-e92  |  b19-d76-e31  | c19-d45-e15  |
| a15-b69-c82  |  a16-b99-d85  | a16-b18-e39  | a17-c87-d90  | a13-c80-e25  | a17-d43-e97  |  b20-c84-d81  | b16-c80-e94  |  b19-d76-e40  | c19-d45-e29  |
| a15-b69-c84  |  a16-b99-d95  | a16-b18-e43  |  a18-c2-d22  | a13-c80-e42  | a17-d43-e99  |  b20-c84-d85  |  b17-c4-e8   |  b19-d76-e67  | c19-d45-e68  |
| a15-b99-c16  |  a17-b85-d33  | a16-b18-e56  |  a18-c2-d43  | a13-c80-e51  | a17-d67-e88  |  b20-c84-d95  |  b17-c4-e28  |  b19-d76-e74  | c19-d45-e96  |
| a15-b99-c41  |  a17-b85-d43  | a16-b18-e69  |  a18-c2-d45  | a13-c80-e75  | a17-d67-e99  |  b20-c84-d99  |  b17-c4-e53  |  b19-d89-e31  | c19-d45-e97  |
| a15-b99-c49  |  a17-b85-d67  | a16-b18-e70  |  a18-c2-d48  | a13-c80-e92  | a17-d90-e48  |  b20-c86-d46  |  b17-c4-e61  |  b19-d89-e67  | c19-d48-e29  |
| a15-b99-c61  |  a18-b41-d13  | a16-b18-e72  |  a18-c2-d50  | a13-c80-e94  | a17-d90-e97  |  b20-c86-d69  |  b17-c4-e63  |  b19-d89-e74  | c19-d48-e68  |
| a15-b99-c73  |  a18-b41-d22  | a16-b24-e16  |  a18-c2-d65  | a14-c22-e78  | a18-d13-e36  |  b20-c86-d81  |  b17-c4-e71  |   b20-d28-e9  | c19-d48-e96  |
| a15-b99-c84  |  a18-b41-d45  | a16-b24-e69  |  a18-c9-d13  | a14-c22-e95  | a18-d13-e68  |  b20-c89-d46  | b17-c15-e28  |  b20-d28-e12  | c19-d50-e15  |
|  a16-b4-c16  |  a18-b41-d48  | a16-b24-e72  |  a18-c9-d48  | a14-c25-e27  | a18-d22-e68  |  b20-c89-d69  | b17-c15-e35  |  b20-d28-e69  | c19-d50-e29  |
|  a16-b4-c26  |  a18-b41-d50  | a16-b42-e69  |  a18-c9-d49  | a14-c25-e30  | a18-d22-e97  |  b20-c89-d81  | b17-c15-e53  |  b20-d28-e98  | c19-d50-e68  |
|  a16-b4-c34  |  a18-b41-d65  | a16-b42-e72  |  a18-c9-d50  | a14-c25-e50  | a18-d43-e68  |  b20-c98-d46  | b17-c15-e63  |  b20-d46-e12  | c19-d50-e96  |
|  a16-b4-c49  |  a18-b57-d13  | a16-b53-e38  |  a18-c9-d65  | a14-c25-e78  | a18-d43-e97  |  b20-c98-d69  | b17-c15-e71  |  b20-d46-e24  | c19-d50-e97  |
|  a16-b4-c66  |  a18-b57-d22  | a16-b53-e39  |  a18-c9-d70  | a14-c25-e79  | a18-d45-e68  |  b20-c99-d28  |  b17-c33-e8  |  b20-d46-e36  | c19-d65-e29  |
| a16-b18-c26  |  a18-b57-d43  | a16-b53-e43  |  a18-c9-d93  | a14-c25-e95  | a18-d45-e97  |  b20-c99-d46  | b17-c33-e28  |  b20-d46-e41  | c19-d65-e68  |
| a16-b18-c34  |  a18-b57-d45  | a16-b53-e56  | a18-c10-d13  | a14-c55-e30  | a18-d48-e36  |  b20-c99-d54  | b17-c33-e35  |   b20-d54-e9  | c19-d65-e97  |
| a16-b18-c41  |  a18-b57-d48  | a16-b53-e70  | a18-c10-d49  | a14-c55-e78  | a18-d48-e68  |  b20-c99-d69  | b17-c33-e53  |  b20-d54-e12  | c19-d86-e15  |
| a16-b18-c49  |  a18-b57-d50  | a16-b53-e72  | a18-c10-d65  | a14-c64-e27  | a18-d49-e24  |  b20-c99-d77  | b17-c33-e63  |  b20-d54-e98  | c19-d86-e29  |
| a16-b18-c66  |  a18-b57-d65  | a16-b66-e16  | a18-c10-d70  | a14-c64-e30  | a18-d49-e45  |  b20-c99-d83  | b17-c33-e69  |   b20-d69-e9  | c19-d86-e37  |
| a16-b18-c84  |  a18-b61-d43  | a16-b66-e38  | a18-c10-d93  | a14-c64-e50  | a18-d50-e68  |  b20-c99-d95  | b17-c33-e71  |  b20-d69-e12  | c19-d86-e68  |
| a16-b24-c41  |  a18-b61-d49  | a16-b66-e39  | a18-c12-d13  | a14-c64-e79  | a18-d50-e97  |  b20-c99-d99  |  b17-c47-e8  |  b20-d69-e24  | c19-d86-e96  |
| a16-b24-c84  |  a18-b61-d65  | a16-b66-e56  | a18-c12-d49  | a14-c96-e27  | a18-d65-e24  |   b21-c8-d15  | b17-c47-e28  |  b20-d69-e36  | c19-d86-e97  |
| a16-b42-c41  |  a18-b61-d93  | a16-b66-e69  | a18-c12-d50  | a14-c96-e30  | a18-d65-e36  |   b21-c8-d56  | b17-c47-e61  |  b20-d69-e98  | c19-d90-e15  |
| a16-b42-c84  |  a18-b85-d43  | a16-b66-e72  | a18-c12-d65  | a14-c96-e50  | a18-d65-e45  |   b21-c8-d91  | b17-c47-e69  |   b20-d77-e9  | c19-d90-e37  |
| a16-b53-c16  |  a18-b85-d49  | a16-b99-e16  | a18-c12-d70  | a14-c96-e78  | a18-d65-e68  |   b21-c20-d5  | b17-c47-e71  |  b20-d77-e12  | c19-d90-e48  |
| a16-b53-c34  |  a18-b85-d50  | a16-b99-e38  | a18-c12-d93  | a14-c96-e79  | a18-d65-e97  |  b21-c20-d15  |  b17-c99-e8  |  b20-d77-e41  | c19-d90-e97  |
| a16-b53-c41  |  a18-b85-d65  | a16-b99-e39  | a18-c19-d22  | a14-c96-e95  | a18-d70-e24  |  b21-c20-d20  | b17-c99-e61  |  b20-d77-e69  |  c20-d5-e26  |
| a16-b53-c49  |  a18-b85-d93  | a16-b99-e43  | a18-c19-d43  | a14-c100-e78 | a18-d70-e36  |  b21-c20-d56  | b17-c99-e69  |  b20-d77-e98  |  c20-d5-e87  |
| a16-b66-c41  |  a18-b100-d13 | a16-b99-e56  | a18-c19-d45  | a14-c100-e95 | a18-d70-e45  |  b21-c20-d91  | b17-c99-e71  |  b20-d81-e24  |  c20-d5-e89  |
| a16-b66-c84  |  a18-b100-d22 | a16-b99-e69  | a18-c19-d48  | a15-c16-e33  | a18-d70-e68  |  b21-c46-d20  | b18-c26-e16  |  b20-d81-e36  |  c20-d5-e93  |
| a16-b99-c16  |  a18-b100-d45 | a16-b99-e70  | a18-c19-d50  | a15-c16-e39  | a18-d93-e24  |  b21-c46-d56  | b18-c26-e34  |  b20-d81-e41  |  c20-d15-e7  |
| a16-b99-c34  |  a18-b100-d48 | a16-b99-e72  | a18-c19-d65  | a15-c16-e43  | a18-d93-e36  |  b21-c46-d91  | b18-c26-e38  |   b20-d83-e9  | c20-d15-e26  |
| a16-b99-c41  |  a18-b100-d50 | a17-b85-e88  | a18-c28-d13  | a15-c16-e72  | a18-d93-e45  |  b21-c85-d15  | b18-c26-e70  |  b20-d83-e12  | c20-d15-e62  |
| a16-b99-c49  |  a18-b100-d65 | a17-b85-e97  | a18-c28-d45  | a15-c16-e90  | a18-d93-e68  |  b21-c85-d20  | b18-c34-e16  |  b20-d83-e69  | c20-d15-e87  |
| a16-b99-c84  |  a18-b100-d70 | a17-b85-e99  | a18-c28-d48  | a15-c41-e39  |  a19-d37-e5  |  b21-c85-d56  | b18-c34-e38  |  b20-d83-e98  | c20-d15-e89  |
| a17-b85-c45  |   a19-b7-d73  | a18-b41-e68  | a18-c28-d50  | a15-c41-e41  |  a19-d37-e6  |  b21-c85-d91  | b18-c34-e39  |  b20-d85-e36  | c20-d15-e93  |
| a17-b85-c77  |   a19-b7-d84  | a18-b41-e97  | a18-c28-d65  | a15-c41-e43  | a19-d37-e11  |   b21-c92-d5  | b18-c34-e43  |  b20-d85-e41  |  c20-d20-e7  |
| a17-b85-c87  |   a19-b7-d86  | a18-b57-e68  | a18-c28-d70  | a15-c41-e72  | a19-d37-e20  |  b21-c92-d15  | b18-c34-e56  |  b20-d85-e69  | c20-d20-e26  |
|  a18-b41-c2  |   a19-b7-d97  | a18-b57-e97  | a18-c28-d93  | a15-c41-e90  | a19-d37-e96  |  b21-c92-d20  | b18-c34-e70  |  b20-d95-e69  | c20-d20-e62  |
| a18-b41-c19  |  a19-b27-d37  | a18-b61-e45  | a18-c45-d22  | a15-c49-e39  |  a19-d73-e2  |  b21-c92-d56  | b18-c34-e73  |   b20-d99-e9  | c20-d20-e87  |
